label_id,label_type,name,name_type,name_source
146,species,Blunt-winged Warbler,common_en,SpeciesMapping_11
146,species,blwwar1,ml_species_code,SpeciesMapping_11
147,species,Acrocephalus dumetorum,scientific,SpeciesMapping_11
147,species,Blyth's Reed Warbler,common_en,SpeciesMapping_11
147,species,blrwar1,ml_species_code,SpeciesMapping_11
148,species,Acrocephalus familiaris,scientific,SpeciesMapping_11
148,species,Millerbird,common_en,SpeciesMapping_11
148,species,miller,ml_species_code,SpeciesMapping_11
149,species,Acrocephalus gracilirostris,scientific,SpeciesMapping_11
149,species,Lesser Swamp Warbler,common_en,SpeciesMapping_11
149,species,leswar1,ml_species_code,SpeciesMapping_11
150,species,Acrocephalus griseldis,scientific,SpeciesMapping_11
150,species,Basra Reed Warbler,common_en,SpeciesMapping_11
150,species,barwar2,ml_species_code,SpeciesMapping_11
151,species,Acrocephalus hiwae,scientific,SpeciesMapping_11
151,species,Saipan Reed Warbler,common_en,SpeciesMapping_11
151,species,sairew1,ml_species_code,SpeciesMapping_11
152,species,Acrocephalus kerearako,scientific,SpeciesMapping_11
152,species,Cook Islands Reed Warbler,common_en,SpeciesMapping_11
152,species,cirwar2,ml_species_code,SpeciesMapping_11
153,species,Acrocephalus melanopogon,scientific,SpeciesMapping_11
153,species,Moustached Warbler,common_en,SpeciesMapping_11
153,species,mouwar1,ml_species_code,SpeciesMapping_11
154,species,Acrocephalus mendanae,scientific,SpeciesMapping_11
154,species,Southern Marquesan Reed Warbler,common_en,SpeciesMapping_11
154,species,marwar2,ml_species_code,SpeciesMapping_11
155,species,Acrocephalus newtoni,scientific,SpeciesMapping_11
155,species,Madagascar Swamp Warbler,common_en,SpeciesMapping_11
155,species,maswar1,ml_species_code,SpeciesMapping_11
156,species,Acrocephalus orientalis,scientific,SpeciesMapping_11
156,species,Oriental Reed Warbler,common_en,SpeciesMapping_11
156,species,orrwar1,ml_species_code,SpeciesMapping_11
157,species,Acrocephalus orinus,scientific,SpeciesMapping_11
157,species,Large-billed Reed Warbler,common_en,SpeciesMapping_11
157,species,labrew1,ml_species_code,SpeciesMapping_11
158,species,Acrocephalus paludicola,scientific,SpeciesMapping_11
158,species,Aquatic Warbler,common_en,SpeciesMapping_11
158,species,aquwar1,ml_species_code,SpeciesMapping_11
159,species,Acrocephalus palustris,scientific,SpeciesMapping_11
159,species,Marsh Warbler,common_en,SpeciesMapping_11
159,species,marwar3,ml_species_code,SpeciesMapping_11
160,species,Acrocephalus percernis,scientific,SpeciesMapping_11
160,species,Northern Marquesan Reed Warbler,common_en,SpeciesMapping_11
160,species,marrew2,ml_species_code,SpeciesMapping_11
161,species,Acrocephalus rehsei,scientific,SpeciesMapping_11
161,species,Nauru Reed Warbler,common_en,SpeciesMapping_11
161,species,narwar1,ml_species_code,SpeciesMapping_11
162,species,Acrocephalus rimitarae,scientific,SpeciesMapping_11
162,species,Rimatara Reed Warbler,common_en,SpeciesMapping_11
162,species,rimrew1,ml_species_code,SpeciesMapping_11
163,species,Acrocephalus rodericanus,scientific,SpeciesMapping_11
163,species,Rodrigues Warbler,common_en,SpeciesMapping_11
163,species,rodbrw1,ml_species_code,SpeciesMapping_11
164,species,Acrocephalus rufescens,scientific,SpeciesMapping_11
164,species,Greater Swamp Warbler,common_en,SpeciesMapping_11
164,species,grswar2,ml_species_code,SpeciesMapping_11
165,species,Acrocephalus schoenobaenus,scientific,SpeciesMapping_11
165,species,Sedge Warbler,common_en,SpeciesMapping_11
165,species,sedwar1,ml_species_code,SpeciesMapping_11
166,species,Acrocephalus scirpaceus,scientific,SpeciesMapping_11
166,species,Common Reed Warbler,common_en,SpeciesMapping_11
166,species,eurwar1,ml_species_code,SpeciesMapping_11
167,species,Acrocephalus sechellensis,scientific,SpeciesMapping_11
167,species,Seychelles Warbler,common_en,SpeciesMapping_11
167,species,sebwar1,ml_species_code,SpeciesMapping_11
168,species,Acrocephalus stentoreus,scientific,SpeciesMapping_11
168,species,Clamorous Reed Warbler,common_en,SpeciesMapping_11
168,species,clrwar1,ml_species_code,SpeciesMapping_11
169,species,Acrocephalus syrinx,scientific,SpeciesMapping_11
169,species,Caroline Reed Warbler,common_en,SpeciesMapping_11
